Full of life & exciting [Latitude],Full of life & exciting [Longitude],Full of life & exciting [# times visited],Full of life & exciting [Duration],Chaotic & restless [Latitude],Chaotic & restless [Longitude],Chaotic & restless [# times visited],Chaotic & restless [Duration],Calm & tranquil [Latitude],Calm & tranquil [Longitude],Calm & tranquil [# times visited],Calm & tranquil [Duration],Boring & lifeless [Latitude],Boring & lifeless [Longitude],Boring & lifeless [# times visited],Boring & lifeless [Duration]
1.3557400399239936,103.78070992717284,2,180.0,1.3323147086674505,103.8483874250366,1,30,1.30071590143189,103.91323251018063,2,300,1.270049878100488,103.81411952266234,1,0
1.3151102481985,103.81761712321776,4,180.0,1.3042125983209305,103.83405370006102,4,60,1.304684544768439,103.82336777934567,4,120,1.3053281079633252,103.82993382701414,4,60
1.302753854196358,103.83276623973389,1,120.0,1.301938673288236,103.83512658366698,1,60,1.304856161636525,103.8232819486572,1,30,1.3119138951758444,103.8256208349182,1,20
1.2848223265191072,103.86514409311522,4,30.0,1.314466687516023,103.87902898082274,4,10,1.3155821925934692,103.81607217082518,4,60,1.2917381636402234,103.86387986430664,4,10
1.3506808,103.8487631,4,60.0,1.3045921105591065,103.83394419206545,4,30,1.32055905531803,103.81628674754636,2,120,1.3184138570875847,103.86456650981444,4,20
1.3035690348407103,103.83195084819334,4,120.0,1.304770353203945,103.8339249540283,2,30,1.3127505248854414,103.8159863401367,4,120,1.3066581380440108,103.82851762065428,1,10
1.314059098998061,103.8860456396057,4,30.0,1.303912268717285,103.87666863688963,4,60,1.312686168763913,103.81556791553038,4,60,1.287554977478248,103.8035408903076,4,30
1.3227900595136062,103.81169480571288,4,30.0,1.349915905782038,103.84904188403624,3,30,1.3147241118088986,103.81568593272704,4,60,1.3427081182527187,103.77569956073302,4,90
1.3634088000000024,103.8435614,4,120.0,1.3509307068331198,103.84808786931154,4,20,1.3446762929495273,103.82269392275388,4,120,1.3365576012300906,103.83571662695311,4,30
1.3419090139552403,103.8344956424194,4,60.0,1.3508449,103.8481737,4,30,1.3548163,103.7762985,4,120,1.352052,103.8370283,4,15
1.3141440193352856,103.88732259152624,2,20.0,1.3609080894030583,103.837970584128,1,10,1.3140863973858237,103.81589213994992,4,30,1.3409528140420597,103.80281698145605,1,10
1.350677441611275,103.84946030864256,2,40.0,1.3327866497873389,103.8489453245117,1,30,1.339651237652534,103.81641549357909,1,120,1.3561476215315136,103.83808774241942,1,30
1.308116879903367,103.83238000163573,4,60.0,1.3208593829226076,103.8308779645874,4,60,1.3076020299321405,103.81701630839842,4,60,1.301252204950628,103.83057755717772,4,50
1.3006944492887589,103.91237420329588,4,45.0,1.3340308577604971,103.85581177958984,1,60,1.306615233858852,103.86782807597656,1,60,1.3053495600670046,103.87679738292236,1,10
1.334457165698117,103.84901671111456,4,10.0,1.3212455183608924,103.84654206523436,4,60,1.3129221412015233,103.81422681102292,4,150,1.2949023639840036,103.83195084819334,4,30
1.3045129278886738,103.83199376353758,4,60.0,1.30695846731969,103.85074776896973,4,40,1.3163544650472505,103.81783169993896,4,120,1.312364388131196,103.83950394877928,4,30
1.3045987363300322,103.8301054883911,4,180.0,1.3048132574205913,103.83568448314207,4,90,1.313951838850618,103.81358308085936,4,120,1.3230474829455947,103.8431088376953,4,50
1.3200544,103.8917746,4,120.0,1.3516087,103.899516,4,60,1.3018870348230422,103.87009113059388,4,120,1.3176992333480022,103.86158008465574,4,30
1.3318534933947963,103.84752911815184,1,120.0,1.331837404488383,103.84752911815184,1,30,1.3169014912240933,103.97960109004516,1,120,1.330705817806924,103.84713751563568,1,0
1.313022947206509,103.87759488258664,4,180.0,1.2834458,103.8161326,1,30,1.3039845,103.8770208,2,240,1.2834458,103.8161326,1,60
1.2990640858783191,103.90632313975829,4,180.0,1.291427106444644,103.83117837199704,4,20,1.3108627446313412,103.81392640361328,4,170,1.3175557772776505,103.83315247783202,4,25
1.3055426289916854,103.83200807039856,4,60.0,1.312750524885454,103.85146302819948,4,20,1.3132367728295389,103.81727380046384,4,60,1.291441399196552,103.85667008516492,4,20
1.3321430936923413,103.84729308375852,3,30.0,1.332228901181378,103.84782952556152,3,30,1.314013513436049,103.81652814635773,4,60,1.3357041019737643,103.78266257533568,1,10
1.3340308577604971,103.85478181132812,4,120.0,1.3166976971721536,103.8943497587158,4,60,1.3005657364262957,103.91280335673828,4,60,1.328539176456683,103.80233926066892,4,10
1.3489184007435049,103.83939666041869,4,45.0,1.3507525225956307,103.849181358905,4,105,1.350055341937623,103.84600562343138,4,20,1.344033837980028,103.8470656323031,3,20
1.311034361076948,103.79431409129636,1,90.0,1.3109914569666212,103.79474324473875,1,90,1.313007949355156,103.81577176341553,1,120,1.3559116532407487,103.83310956248778,1,15
